sample	stage
E14.5_FL_3319.BATCH141203_0227.LANE2	E14
Adult_HSC_3709.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3709.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3710.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3710.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3711.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3711.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3712.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3712.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3713.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3713.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3714.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3714.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3717.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3717.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3718.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3718.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3719.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3719.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3720.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3720.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3721.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3721.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3722.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3722.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3723.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3723.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3725.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3727.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3728.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3729.BATCH150722_AHV5F5ADXX.LANE1	Adult_HSC
Adult_HSC_3730.BATCH150722_AHV5F5ADXX.LANE1	Adult_HSC
Adult_HSC_3731.BATCH150722_AHV5F5ADXX.LANE1	Adult_HSC
Adult_HSC_3732.BATCH150722_AHV5F5ADXX.LANE1	Adult_HSC
Adult_HSC_3733.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3734.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3735.BATCH150722_AHV5F5ADXX.LANE2	Adult_HSC
Adult_HSC_3737.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3737.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3738.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3738.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3739.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3739.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
Adult_HSC_3740.BATCH150721_AHV5C5ADXX.LANE1	Adult_HSC
Adult_HSC_3740.BATCH150721_AHV5C5ADXX.LANE2	Adult_HSC
